FileNo,APINo,SpudDate,completion mo,CurrentWellName,CurrentOperator,Wellbore,WellType,WellStatus,Latitude,Longitude
123,33105000670000,8/18/52,10/1/52,BEAVER LODGE-MADISON UNIT     Y-28,AMERADA HESS CORPORATION,VERTICAL,OG,PA,48.340286,-102.879259
132,33061000040000,8/26/52,10/1/52,TIOGA-MADISON UNIT     M-143,AMERADA HESS CORPORATION,VERTICAL,OG,PA,48.511977,-102.872111
139,33105000770000,8/30/52,10/1/52,BEAVER LODGE-MADISON UNIT     V-32,AMERADA HESS CORPORATION,VERTICAL,OG,PA,48.354729,-102.895704
125,33105000690000,8/12/52,10/1/52,NELLIE MCGINNITY     1,WILLIAM HERBERT HUNT,VERTICAL,OG,PA,48.544529,-103.002366
114,33105000600000,9/10/52,10/1/52,TIOGA-MADISON UNIT     J-126,AMERADA HESS CORPORATION,VERTICAL,OG,PA,48.450353,-102.887959
148,33061000060000,9/13/52,10/1/52,TIOGA-MADISON UNIT     M-139,"HESS BAKKEN INVESTMENTS II, LLC",VERTICAL,OG,PA,48.497478,-102.87215
86,33105000420000,9/13/52,10/1/52,BEAVER LODGE-MADISON UNIT     L-8,AMERADA HESS CORPORATION,VERTICAL,OG,PA,48.267777,-102.949678
152,33105000850000,9/19/52,10/1/52,BEAVER LODGE-MADISON UNIT     P-28,AMERADA HESS CORPORATION,VERTICAL,OG,PA,48.340194,-102.928045
128,33105000710000,8/7/52,10/1/52,HOFFLUND-MADISON UNIT     14,"FLYING J OIL & GAS, INC.",VERTICAL,OG,PA,48.166416,-102.911381
140,33105000780000,9/21/52,10/1/52,BEAVER LODGE-MADISON UNIT     N-22,HESS CORPORATION,VERTICAL,WI,PA,48.318376,-102.938752
154,33105000870000,9/24/52,10/1/52,TIOGA-MADISON UNIT     G-133,AMERADA HESS CORPORATION,VERTICAL,OG,PA,48.47574,-102.904381
146,33105000830000,9/6/52,10/1/52,TIOGA-MADISON UNIT     H-104,AMERADA HESS CORPORATION,VERTICAL,OG,PA,48.370008,-102.895801
158,33105000900000,9/20/52,11/1/52,TIOGA-MADISON UNIT     J-142,AMERADA HESS CORPORATION,VERTICAL,OG,PA,48.508243,-102.887962
143,33105000810000,9/24/52,11/1/52,BEAVER LODGE-MADISON UNIT     F-8,AMERADA HESS CORPORATION,VERTICAL,OG,PA,48.267845,-102.981312
117,33105000620000,9/27/52,11/1/52,BEAVER LODGE-MADISON UNIT     S-24,AMERADA HESS CORPORATION,VERTICAL,OG,PA,48.325709,-102.91176
172,33105001020000,10/1/52,11/1/52,TIOGA-MADISON UNIT     H-144,AMERADA HESS CORPORATION,VERTICAL,OG,PA,48.515494,-102.898843
176,33061000080000,10/8/52,11/1/52,TIOGA-MADISON UNIT     N-144,AMERADA HESS CORPORATION,VERTICAL,OG,PA,48.515606,-102.866637
177,33105001040000,10/1/52,11/1/52,BEAVER LODGE-MADISON UNIT     W-28,AMERADA HESS CORPORATION,VERTICAL,OG,PA,48.340273,-102.890172
168,33105001000000,10/11/52,11/1/52,BEAVER LODGE-MADISON UNIT     U-20,AMERADA HESS CORPORATION,VERTICAL,OG,PA,48.311233,-102.900829
175,33061000070000,10/15/52,11/1/52,TIOGA-MADISON UNIT     O-125,AMERADA HESS CORPORATION,VERTICAL,OG,PA,48.446805,-102.860991
